,openscore,name,year_x,metascore,userscore,year_y
0,94,Super Mario 3D World,2013,93.0,8.9,2013
1,93,flower,2013,91.0,7.2,2013
2,91,Rayman Legends,2013,90.0,8.5,2013
3,89,The Legend of Zelda: A Link Between Worlds,2013,91.0,9.0,2013
4,87,Tearaway,2013,87.0,8.9,2013
5,86,Final Fantasy XIV Online: A Realm Reborn,2013,82.33333333333333,6.666666666666667,2013
6,86,XCOM: Enemy Within,2013,87.0,7.85,2013
7,86,FIFA 14,2013,86.25,5.175,2013
8,85,Resogun,2013,84.0,7.7,2013
9,85,Assassin's Creed IV: Black Flag,2013,85.25,7.925000000000001,2013
10,85,The Swapper,2013,85.0,8.1,2013
11,84,Rogue Legacy,2013,83.75,7.925,2014
12,84,ZEN Pinball 2,2013,82.0,7.0,2013
13,84,Gone Home,2013,86.0,5.4,2013
14,83,Volgarr the Viking,2013,76.0,7.8,2013
15,83,Rocksmith 2014 Edition,2013,87.33333333333333,7.900000000000001,2013
16,83,Skylanders Swap Force,2013,80.4,5.82,2013
17,82,Fez,2013,90.5,6.550000000000001,2013
18,82,LEGO Marvel Super Heroes,2013,81.0,7.88,2013
19,82,SteamWorld Dig,2013,81.2,7.68,2013
20,82,NBA 2K14,2013,85.5,5.525,2013
21,82,The Wolf Among Us: Episode 1 - Faith,2013,84.0,8.700000000000001,2013
22,81,Injustice: Gods Among Us - Ultimate Edition,2013,80.0,7.2,2013
23,81,Need for Speed: Rivals,2013,76.75,5.2250000000000005,2013
24,80,Samurai Gunn,2013,78.0,7.6,2013
25,80,Stick it to the Man!,2013,78.5,7.2749999999999995,2013
26,80,CastleStorm,2013,78.4,7.580000000000001,2014
27,79,Forza Motorsport 5,2013,79.0,6.0,2013
28,79,The Walking Dead: Season Two Episode 1 - All That Remains,2013,79.0,8.55,2013
29,79,Battlefield 4,2013,81.25,6.175,2013
30,79,Teslagrad,2013,78.75,7.6,2014
31,79,Risk of Rain,2013,77.0,8.1,2013
32,78,The Walking Dead: Season Two - A Telltale Games Series,2013,80.0,8.3,2013
33,78,Dead Rising 3,2013,78.0,6.9,2013
34,76,Outlast,2013,79.0,8.05,2013
35,76,Brothers: A Tale of Two Sons,2013,84.4,8.34,2014
36,76,Madden NFL 25,2013,75.75,5.2,2013
37,76,Peggle 2,2013,77.0,7.1,2013
38,76,Renowned Explorers: International Society,2013,72.0,6.5,2015
39,76,Shadow Warrior,2013,72.33333333333333,7.633333333333333,2013
40,75,Baldur's Gate II: Enhanced Edition,2013,78.0,7.4,2013
41,75,Angry Video Game Nerd Adventures,2013,77.0,7.6,2013
42,75,Electronic Super Joy,2013,78.0,6.8,2015
43,75,Tetrobot and Co.,2013,74.5,8.05,2013
44,75,Tiny Barbarian DX,2013,77.0,7.7,2017
45,75,War Thunder,2013,78.5,6.05,2013
46,75,Nihilumbra,2013,74.66666666666667,6.400000000000001,2014
47,74,Assassin's Creed IV: Black Flag - Freedom Cry,2013,73.5,6.699999999999999,2013
48,74,Bleed,2013,75.0,7.5,2017
49,74,Anomaly 2,2013,75.5,7.300000000000001,2013
50,74,Knytt Underground,2013,76.0,7.6,2013
51,74,Broken Sword 5: The Serpent's Curse,2013,74.5,7.2,2015
52,74,The Bridge,2013,75.0,7.5,2013
53,73,Disney DuckTales Remastered,2013,73.66666666666667,7.533333333333334,2013
54,73,Just Dance 2014,2013,75.5,7.699999999999999,2013
55,73,Warframe,2013,73.0,8.0,2014
56,73,Another World: 20th Anniversary Edition,2013,73.0,7.2,2014
57,73,Killzone: Shadow Fall,2013,73.0,6.8,2013
58,72,Call of Duty: Ghosts,2013,73.6,3.12,2013
59,71,Ultratron,2013,73.0,6.5,2015
60,71,NES Remix,2013,71.0,7.2,2013
61,71,Neverwinter,2013,71.33333333333333,5.733333333333334,2014
62,71,Super Motherload,2013,65.0,6.6,2013
63,70,BioShock Infinite: Burial at Sea - Episode One,2013,71.33333333333333,7.900000000000001,2013
64,70,World of Warplanes,2013,69.0,5.3,2013
65,69,Max: The Curse of Brotherhood,2013,70.66666666666667,6.2,2015
66,69,Redshirt,2013,62.0,5.5,2013
67,69,Ironclad Tactics,2013,69.0,7.2,2013
68,69,Powerstar Golf,2013,65.0,5.5,2013
69,69,Zoo Tycoon,2013,68.0,3.1,2013
70,68,Escape Plan,2013,73.0,6.7,2013
71,68,The Novelist,2013,66.0,6.0,2013
72,67,Doki-Doki Universe,2013,66.33333333333333,6.2,2013
73,66,Anodyne,2013,75.0,6.6,2013
74,66,Tiny Brains,2013,64.0,6.7,2013
75,66,Deadpool,2013,61.5,7.074999999999999,2013
76,65,Foul Play,2013,68.0,5.366666666666667,2014
77,63,SimCity: Cities of Tomorrow Expansion Pack,2013,61.0,3.8,2013
78,63,Ryse: Son of Rome,2013,60.5,6.45,2013
79,60,Contrast,2013,60.5,7.0,2013
80,60,Bridge Constructor,2013,62.0,6.6,2015
81,58,Knack,2013,54.0,6.5,2013
82,58,Journey of a Roach,2013,65.0,6.9,2013
83,58,Mario Party: Island Tour,2013,57.0,6.0,2013
84,56,Slender: The Arrival,2013,62.5,6.5,2014
